Number,Lemma,PoS,reason,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,notes,roots
3,аббат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аббат
4,аббатство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аббат
7,аберрация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аберрац
14,абордаж,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абордаж
25,абсолютизация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсолют
27,абсолютизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсолют
28,абсолютно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсолют
29,абсолютность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсолют
30,абсолютный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсолют
36,абстрактно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абстракт
41,абсурд,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсурд
42,абсурдно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсурд
43,абсурдность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсурд
45,абсцесс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абсцесс
47,абхаз,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абхаз
49,абхазский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,абхаз
51,авангардизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авангард
54,авангардный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авангард
57,авансцена,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авансцена
60,авантюрист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авантюр
61,авантюристка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авантюр
62,авантюрный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авантюр
63,аварийно-спасательный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"аварий,спас"
64,аварийность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аварий
65,аварийный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аварий
67,авва,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авва
68,авгиев,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авгий
70,августейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,август
72,авеню,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авеню
73,авиа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авиа
80,авиакатастрофа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,катастроф"
83,авиакосмический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,косм"
84,авиакрыло,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,крыл"
87,авианосец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,нос"
90,авиаперевозка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,перевоз"
91,авиаперевозчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,перевоз"
92,авиапредприятие,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,предприят"
93,авиапром,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,пром"
95,авиарейс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,рейс"
96,авиасалон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,салон"
97,авиастроение,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,строен"
98,авиастроитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,строител"
101,авиатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авиа
102,авиационно-космический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"авиа,косм"
103,авиационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авиа
105,авиетка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авиет
106,авионика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авиа
108,авокадо,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авокадо
116,австро-венгерский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"австро,венгер"
117,авто,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
119,автобан,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
120,автобиографический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
121,автобиография,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
124,автовладелец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
126,автоген,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
127,автогигант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
128,автогонки,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
129,автогонщик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
130,автогражданский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
134,автодром,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
135,автозавод,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
137,автозаводский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
138,автозаправка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
140,автозапчасти,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
141,автоинспектор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
144,автоклав,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
145,автоколонна,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
147,автокран,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
148,автолавка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
149,автолюбитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
151,автомастерская,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
152,автомат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
158,автоматически,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
161,автоматчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
162,автомашина,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
163,автомеханик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
164,автомобилестроение,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
165,автомобилестроитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
170,автомобильчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
172,автономно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
173,автономность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
174,автономный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
175,автоответчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
179,автопортрет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
180,автопредприятие,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
181,автопроизводитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
182,автопром,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
184,авторадио,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
185,авторемонтный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
186,автореферат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
187,авторизация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
189,авторитаризм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
190,авторитарность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
192,авторитет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
193,авторитетнейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
194,авторитетно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
195,авторитетность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
198,авторство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
200,авторынок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
205,автоспорт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
206,автоспортивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
210,автострада,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
211,автострахование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
213,автотранспортный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
215,автофургон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
216,автохозяйство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
217,автоцентр,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
219,автошкола,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,авто
221,агар,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агар
222,агарозный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агароз
223,агат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агат
224,агенс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агенс
225,агент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агент
230,агинский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агин
233,агитация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агит
235,агитка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агит
236,агитпроп,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агит
238,агломерат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агломер
243,агония,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агон
244,аграрий,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аграр
248,агрегирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агрег
249,агрегированный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агрегиров
250,агрессивно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агрессив
255,агролесомелиоративный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агро
260,агропромбанк,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агро
264,агрофирма,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агро
265,агрохолдинг,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агро
266,агуша,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,агуша
268,адажио,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адажио
269,адамантан,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адамантан
270,адамов,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адамов
271,адаптационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адаптацион
273,адаптер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адаптер
274,адаптивность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адаптив
275,адаптивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адаптив
279,адвентист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адвент
