Number,Lemma,PoS,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,roots
6,абвер,s,вер,,вер => вер-1|вер-2|вер-3,вер-3
88,авианосный,a,"авиа,нос",авиа,нос => нос-1|нос-2,"авиа,нос-2"
132,автодорога,s,"авто,дорог",авто,дорог => дорог-1|дорог-2|дорог-3,"авто,дорог-2"
133,автодорожный,a,"авто,дорож",авто,дорож => дорож-1|дорож-2,"авто,дорож-2"
595,аминокислота,s,"амин,кис",амин,кис => кис-1|кис-2|кис-3,"амин,кис-1"
596,аминокислотный,a,"амин,кис",амин,кис => кис-1|кис-2|кис-3,"амин,кис-1"
778,антимир,s,мир,,мир => мир-1|мир-2,мир-1
1258,аэропорт,s,"аэр,порт",аэр,порт => порт-1|порт-2|порт-3,"аэр,порт-3"
1529,баскетбол,s,"баскет,бол",баскет,бол => бол-1|бол-2,"баскет,бол-2"
1530,баскетболист,s,"баскет,бол",баскет,бол => бол-1|бол-2,"баскет,бол-2"
1861,безразмерный,a,мер,,мер => мер-1|мер-2|мер-3,мер-1
1905,бейсбол,s,"бейс,бол",бейс,бол => бол-1|бол-2,"бейс,бол-2"
1942,белокурый,a,"бел,кур",бел,кур => кур-1|кур-2,"бел,кур-2"
1982,береженый,a,береж,,береж => береж-1|береж-2,береж-1
2273,бизнесмен,s,"бизнес,мен",бизнес,мен => мен-1|мен-2,"бизнес,мен-2"
2373,благоверная,s,"благ,вер",благ,вер => вер-1|вер-2|вер-3,"благ,вер-1"
2378,благовещение,s,"благ,вещ",благ,вещ => вещ-1|вещ-2|вещ-3,"благ,вещ-1"
2379,благовещенский,a,"благ,вещ",благ,вещ => вещ-1|вещ-2|вещ-3,"благ,вещ-1"
2601,богоборческий,a,"бог,бор",бог,бор => бор-1|бор-2|бор-3,"бог,бор-2"
2603,богоданный,a,"бог,да",бог,да => да-1|да-2|да-3,"бог,да-1"
2606,богомол,s,"бог,мол",бог,мол => мол-1|мол-2|мол-3,"бог,мол-2"
2607,богомолец,s,"бог,мол",бог,мол => мол-1|мол-2|мол-3,"бог,мол-2"
2750,большеротый,a,"больш,рот",бол-2,рот => рот-1|рот-2,"бол-2,рот-1"
2765,бомбометание,s,"бомб,мет",бомб,мет => мет-1|мет-2,"бомб,мет-1"
2792,бормашина,s,"бор,машин",машин,бор => бор-1|бор-2|бор-3,"машин,бор-1"
2819,бортинженер,s,"борт,инженер",инженер,борт => борт-1|борт-2,"инженер,борт-2"
2820,бортмеханик,s,"борт,механ",механ,борт => борт-1|борт-2,"механ,борт-2"
2822,бортпроводница,s,"борт,вод",,борт => борт-1|борт-2; вод => вод-1|вод-2,"борт-2,вод-1"
2885,бракоразводный,a,"брак,вод",брак,вод => вод-1|вод-2,"брак,вод-1"
2974,бритоголовый,a,"бр,голов",голов,бр => бр-1|бр-2,"голов,бр-2"
2975,бритоголовый,s,"бр,голов",голов,бр => бр-1|бр-2,"голов,бр-2"
3187,бундесвер,s,"бунд,ес,вер","бунд,ес-2",вер => вер-1|вер-2|вер-3,"бунд,ес-2,вер-3"
3198,бура,s,бур,,бур => бур-1|бур-2|бур-3,бур-2
3209,бурелом,s,"бур,лом",лом,бур => бур-1|бур-2|бур-3,"лом,бур-1"
3211,буренка,s,бур,,бур => бур-1|бур-2|бур-3,бур-2
3653,вековечный,a,"век,веч",век-1,веч => веч-1|веч-2,"век-1,веч-1"
3671,великодушие,s,"велик,душ",вел-1,душ => душ-1|душ-2,"вел-1,душ-1"
3673,великодушный,a,"велик,душ",вел-1,душ => душ-1|душ-2,"вел-1,душ-1"
3680,великопостный,a,"велик,пост",вел-1,пост => пост-1|пост-2,"вел-1,пост-1"
3682,великорусский,a,"велик,рус",вел-1,рус => рус-1|рус-2,"вел-1,рус-2"
3777,вероисповедание,s,"вер,исповед",вед-1,вер => вер-1|вер-2|вер-3,"вед-1,вер-1"
3781,веротерпимость,s,"вер,терп",терп,вер => вер-1|вер-2|вер-3,"терп,вер-1"
3782,вероучение,s,"вер,уч",уч,вер => вер-1|вер-2|вер-3,"уч,вер-1"
3792,верстка,s,верст,,верст => верст-1|верст-2,верст-2
3805,вертолет,s,"верт,лет",верт,лет => лет-1|лет-2,"верт,лет-2"
3807,вертолетчик,s,"верт,лет",верт,лет => лет-1|лет-2,"верт,лет-2"
3818,верховодить,v,"верх,вод",верх,вод => вод-1|вод-2,"верх,вод-1"
3920,вечнозеленый,a,"веч,зелен",зел,веч => веч-1|веч-2,"зел,веч-1"
3938,вещмешок,s,"вещ,мешок",меш-2,вещ => вещ-1|вещ-2|вещ-3,"меш-2,вещ-3"
3967,взаимозаменяемость,s,"взаим,мен",им-1,мен => мен-1|мен-2,"им-1,мен-1"
3968,взаимозаменяемый,a,"взаим,мен,ем","им-1,ем",мен => мен-1|мен-2,"им-1,ем,мен-1"
3978,взаимосвязанный,a,"взаим,вяз",им-1,вяз => вяз-1|вяз-2,"им-1,вяз-2"
4078,взлет,s,лет,,лет => лет-1|лет-2,лет-2
4081,взлетно-посадочный,a,"лет,сад",сад,лет => лет-1|лет-2,"сад,лет-2"
4082,взлетный,a,лет,,лет => лет-1|лет-2,лет-2
4453,вложенный,a,лож,,лож => лож-1|лож-2,лож-1
4517,внесудебный,a,суд,,суд => суд-1|суд-2,суд-1
4620,воднолыжный,a,"вод,лыж",,вод => вод-1|вод-2; лыж => лыж-1|лыж-2,"вод-2,лыж-1"
4622,водовод,s,"вод,вод",,вод => вод-1|вод-2; вод => вод-1|вод-2,"вод-2,вод-1"
4624,водоем,s,вод,,вод => вод-1|вод-2,вод-2
4625,водозабор,s,"вод,бор",,вод => вод-1|вод-2; бор => бор-1|бор-2|бор-3,"вод-2,бор-1"
4626,водоизмещение,s,"вод,мещ",,вод => вод-1|вод-2; мещ => мещ-1|мещ-2,"вод-2,мещ-1"
4629,водолаз,s,"вод,лаз",лаз,вод => вод-1|вод-2,"лаз,вод-2"
4630,водолазка,s,"вод,лаз",лаз,вод => вод-1|вод-2,"лаз,вод-2"
4631,водолазный,a,"вод,лаз",лаз,вод => вод-1|вод-2,"лаз,вод-2"
4632,водомерка,s,"вод,мер",,вод => вод-1|вод-2; мер => мер-1|мер-2|мер-3,"вод-2,мер-1"
4633,водонапорный,a,"вод,пор",,вод => вод-1|вод-2; пор => пор-1|пор-2|пор-3|пор-4,"вод-2,пор-3"
4634,водонепроницаемый,a,"вод,ниц",ниц,вод => вод-1|вод-2,"ниц,вод-2"
4635,водоносный,a,"вод,нос",,вод => вод-1|вод-2; нос => нос-1|нос-2,"вод-2,нос-2"
4637,водоохранный,a,"вод,хран",хран,вод => вод-1|вод-2,"хран,вод-2"
4638,водопад,s,"вод,пад",пад,вод => вод-1|вод-2,"пад,вод-2"
4639,водоплавающий,a,"вод,пла",плав,вод => вод-1|вод-2,"плав,вод-2"
4642,водопользователь,s,"вод,польз",льз,вод => вод-1|вод-2,"льз,вод-2"
4644,водопровод,s,"вод,вод",,вод => вод-1|вод-2; вод => вод-1|вод-2,"вод-2,вод-1"
4648,водорастворимый,a,"вод,твор",,вод => вод-1|вод-2; твор => твор-1|твор-2,"вод-2,твор-1"
